Index,uv,dv,ubar,dbar,u,d
193,0.001694924756097333,0.0021329504561137533,9.292568683690235e-06,7.980042459902646e-06,0.001704217324781023,0.002140930498573656
194,0.001713803385677877,0.0021515265637673917,9.437614963032247e-06,8.10656828441101e-06,0.0017232410006409093,0.002159633132051803
195,0.0017171086365194315,0.002154776617855518,9.463066504837626e-06,8.12877478101598e-06,0.001726571703024269,0.0021629053926365337
196,0.0017283287617427443,0.0021658044193518648,9.549591129786792e-06,8.204278213285527e-06,0.001737878352872531,0.0021740086975651505
197,0.001772529858002389,0.0022091736998781186,9.8923224588501e-06,8.503513406999304e-06,0.0017824221804612391,0.002217677213285118
198,0.001772532747861425,0.002209176531498037,9.892344963206156e-06,8.5035330636312e-06,0.001782425092824631,0.0022176800645616686
199,0.0017966242724021554,0.0022327650938030463,1.0080388038735904e-05,8.667818720408712e-06,0.0018067046604408913,0.002241432912523455
200,0.001827886402988599,0.0022633227202275637,1.0325681100021098e-05,8.88223397971262e-06,0.00183821208408862,0.0022722049542072765
201,0.0018690584291881428,0.0023034781086816126,1.0650901152272593e-05,9.166708945927884e-06,0.0018797093303404154,0.0023126448176275403
202,0.001870302839302128,0.0023046902266747036,1.0660768751548565e-05,9.17534371073575e-06,0.0018809636080536765,0.0023138655703854394
203,0.0019095735433185955,0.0023428949505710614,1.0973295265947224e-05,9.44892715957058e-06,0.0019205468385845427,0.002352343877730632
204,0.001957624739684359,0.0023895188152332275,1.1358630603433775e-05,9.786519441867612e-06,0.0019689833702877927,0.002399305334675095
205,0.0019750111894434046,0.0024063556881581635,1.1498838564042729e-05,9.909429343308869e-06,0.0019865100280074474,0.0024162651175014724
206,0.0020022444932613665,0.002432693005644175,1.1719275878611772e-05,1.0102748994052368e-05,0.0020139637691399784,0.002442795754638227
207,0.0020116535126376693,0.0024417825269286595,1.1795667583364226e-05,1.0169765461085967e-05,0.0020234491802210335,0.0024519522923897455
208,0.0021714694704474263,0.0025954027565673965,1.3110819993029137e-05,1.1325272780992843e-05,0.0021845802904404553,0.002606728029348389
209,0.0022310235006355165,0.0026522825927392745,1.3609122246988395e-05,1.1763932924455642e-05,0.002244632622882505,0.00266404652566373
210,0.0022478771442117616,0.002668344562269763,1.3750935933224447e-05,1.188885604085388e-05,0.002261628080144986,0.002680233418310617
